player,position,Fantasy Points,FP deviation,Floor,Ceiling,Geometric mean,Median
Eagles,DST,8.95,2.96,3.04,14.86,8.33,10.0
Chargers,DST,8.46,1.66,5.14,11.79,8.3,8.46
Patriots,DST,8.34,1.04,6.26,10.41,8.28,8.09
Steelers,DST,8.3,2.49,3.33,13.28,7.96,7.81
Cowboys,DST,8.17,2.17,3.82,12.52,7.91,7.4
Vikings,DST,7.84,1.03,5.78,9.89,7.77,7.18
Ravens,DST,7.81,1.49,4.82,10.8,7.67,7.72
Jaguars,DST,7.78,3.68,0.43,15.14,6.73,7.91
Broncos,DST,7.74,1.23,5.28,10.19,7.64,7.5
Packers,DST,7.55,1.03,5.5,9.6,7.48,7.65
Buccaneers,DST,7.4,1.56,4.27,10.53,7.25,6.8
Chiefs,DST,7.32,1.05,5.21,9.43,7.24,7.7
Colts,DST,7.14,2.55,2.03,12.25,6.63,7.62
Raiders,DST,6.97,1.02,4.93,9.01,6.9,6.9
Cardinals,DST,6.94,1.21,4.52,9.35,6.84,6.57
Rams,DST,6.86,1.81,3.24,10.48,6.63,5.8
Giants,DST,6.69,1.39,3.92,9.46,6.54,6.47
Dolphins,DST,6.59,1.98,2.64,10.55,6.23,7.37
Panthers,DST,6.57,1.19,4.18,8.95,6.45,6.6
Titans,DST,6.47,0.96,4.55,8.38,6.39,6.23
Bengals,DST,6.38,1.56,3.27,9.49,6.22,5.8
Seahawks,DST,6.35,0.65,5.06,7.65,6.32,6.17
Falcons,DST,6.21,0.49,5.23,7.18,6.19,6.23
Bills,DST,5.64,2.63,0.39,10.9,4.63,6.4
Browns,DST,5.64,1.79,2.05,9.22,5.34,5.7
Jets,DST,5.44,1.41,2.61,8.27,5.25,5.0
Lions,DST,5.38,0.44,4.49,6.26,5.36,5.7
49ers,DST,5.36,1.86,1.64,9.09,5.0,5.65
Redskins,DST,5.19,0.83,3.52,6.85,5.12,5.23
Texans,DST,5.0,0.73,3.55,6.46,4.95,5.21
Bears,DST,4.73,1.16,2.41,7.06,4.55,5.2
Saints,DST,4.59,1.4,1.8,7.38,4.36,4.8
Aaron Rodgers,QB,22.46,3.14,16.18,28.73,22.26,22.16
Matt Ryan,QB,21.4,1.84,17.73,25.08,21.33,20.42
Drew Brees,QB,21.02,3.13,14.75,27.29,20.79,20.78
Tom Brady,QB,20.21,2.82,14.57,25.85,20.03,19.3
Cam Newton,QB,19.51,2.41,14.69,24.33,19.34,20.4
Matthew Stafford,QB,18.87,1.12,16.63,21.11,18.83,19.06
Kirk Cousins,QB,18.49,1.74,15.01,21.96,18.41,18.08
Russell Wilson,QB,18.29,1.25,15.79,20.78,18.25,17.95
Alex Smith,QB,18.07,1.49,15.09,21.04,18.0,18.55
Philip Rivers,QB,17.52,0.76,16.0,19.04,17.5,17.12
Dak Prescott,QB,17.21,1.72,13.76,20.66,17.12,17.25
Carson Palmer,QB,17.08,2.63,11.82,22.35,16.88,16.95
Jameis Winston,QB,16.92,0.7,15.53,18.32,16.91,16.79
Jay Cutler,QB,16.16,1.16,13.83,18.49,16.12,16.2
Carson Wentz,QB,16.14,2.05,12.05,20.24,16.02,15.83
Andy Dalton,QB,15.9,2.29,11.32,20.48,15.73,15.85
Trevor Siemian,QB,15.84,1.53,12.78,18.89,15.76,15.89
Derek Carr,QB,15.83,6.13,3.57,28.08,18.02,18.46
Ben Roethlisberger,QB,15.73,5.96,3.82,27.65,17.98,17.91
Blake Bortles,QB,14.99,1.94,11.11,18.87,14.87,14.16
DeShone Kizer,QB,14.92,2.39,10.14,19.7,14.71,15.1
Marcus Mariota,QB,14.75,5.62,3.51,25.99,16.84,16.6
Eli Manning,QB,14.5,1.41,11.67,17.32,14.43,14.08
Tyrod Taylor,QB,14.18,5.64,2.91,25.45,16.1,15.42
Joe Flacco,QB,13.74,0.77,12.2,15.28,13.72,14.04
Jacoby Brissett,QB,13.66,2.1,9.47,17.85,13.5,13.88
Mike Glennon,QB,13.51,1.83,9.85,17.17,13.38,13.55
Josh McCown,QB,13.41,1.73,9.95,16.87,13.29,14.3
Jared Goff,QB,13.34,2.06,9.23,17.45,13.17,13.74
Deshaun Watson,QB,13.33,1.46,10.42,16.25,13.26,12.64
Brian Hoyer,QB,12.82,1.23,10.36,15.28,12.77,13.0
Case Keenum,QB,10.58,4.72,1.14,20.02,9.2,11.42
Sam Bradford,QB,8.89,6.63,-4.37,22.15,10.61,9.44
Cody Kessler,QB,3.32,6.46,-9.6,16.25,2.46,0.0
Matt Moore,QB,3.05,5.34,-7.63,13.74,0.75,0.3
Tom Savage,QB,2.95,5.16,-7.37,13.27,0.58,0.28
Landry Jones,QB,2.71,5.34,-7.98,13.4,0.54,0.33
Matt Cassel,QB,2.61,4.68,-6.76,11.98,0.69,0.38
Scott Tolzien,QB,2.21,4.72,-7.22,11.64,0.26,0.03
Brock Osweiler,QB,0.79,1.49,-2.19,3.77,0.28,0.05
